id,data,autor_id,mensagem
6571,2025-09-08 18:34:25,-1002836003329,⚠️ **Faça o GALE 2 para BTC/USDT** ⚠️
6570,2025-09-08 18:32:26,-1002836003329,⚠️ **Faça o GALE 1 para BTC/USDT** ⚠️
6569,2025-09-08 18:30:31,-1002836003329,"⚠️ **Novo Sinal Encontrado** ⚠️

🪙 **Par:** `BTC/USDT`
⏰ **Entrada:** 18:31
🔴⬇️ **Vender**"
6567,2025-09-08 18:30:28,-1002836003329,✅ **WIN em BTC/USDT** ✅
6566,2025-09-08 18:28:33,-1002836003329,"⚠️ **Novo Sinal Encontrado** ⚠️

🪙 **Par:** `BTC/USDT`
⏰ **Entrada:** 18:29
🔴⬇️ **Vender**"
6565,2025-09-08 18:28:26,-1002836003329,✅ **WIN em BTC/USDT** ✅
6564,2025-09-08 18:26:28,-1002836003329,"⚠️ **Novo Sinal Encontrado** ⚠️

🪙 **Par:** `BTC/USDT`
⏰ **Entrada:** 18:27
🔴⬇️ **Vender**"
6563,2025-09-08 18:26:26,-1002836003329,❎ **STOP em BTC/USDT** ❎
6562,2025-09-08 18:24:25,-1002836003329,⚠️ **Faça o GALE 2 para BTC/USDT** ⚠️
6561,2025-09-08 18:22:26,-1002836003329,⚠️ **Faça o GALE 1 para BTC/USDT** ⚠️
6560,2025-09-08 18:20:28,-1002836003329,"⚠️ **Novo Sinal Encontrado** ⚠️

🪙 **Par:** `BTC/USDT`
⏰ **Entrada:** 18:21
🔴⬇️ **Vender**"
6559,2025-09-08 18:20:26,-1002836003329,✅ **WIN em BTC/USDT** ✅
6558,2025-09-08 18:18:28,-1002836003329,"⚠️ **Novo Sinal Encontrado** ⚠️

🪙 **Par:** `BTC/USDT`
⏰ **Entrada:** 18:19
🔴⬇️ **Vender**"
6557,2025-09-08 18:18:26,-1002836003329,✅ **WIN em BTC/USDT** ✅
6556,2025-09-08 18:16:29,-1002836003329,"⚠️ **Novo Sinal Encontrado** ⚠️

🪙 **Par:** `BTC/USDT`
⏰ **Entrada:** 18:17
🔴⬇️ **Vender**"
6554,2025-09-08 18:16:26,-1002836003329,✅ **WIN (G1) em BTC/USDT** ✅
6553,2025-09-08 18:14:25,-1002836003329,⚠️ **Faça o GALE 1 para BTC/USDT** ⚠️
6552,2025-09-08 18:12:28,-1002836003329,"⚠️ **Novo Sinal Encontrado** ⚠️

🪙 **Par:** `BTC/USDT`
⏰ **Entrada:** 18:13
🔴⬇️ **Vender**"
6551,2025-09-08 18:12:26,-1002836003329,❎ **STOP em BTC/USDT** ❎
6550,2025-09-08 18:10:26,-1002836003329,⚠️ **Faça o GALE 2 para BTC/USDT** ⚠️
6549,2025-09-08 18:08:26,-1002836003329,⚠️ **Faça o GALE 1 para BTC/USDT** ⚠️
6548,2025-09-08 18:06:28,-1002836003329,"⚠️ **Novo Sinal Encontrado** ⚠️

🪙 **Par:** `BTC/USDT`
⏰ **Entrada:** 18:07
🔴⬇️ **Vender**"
6547,2025-09-08 18:06:26,-1002836003329,✅ **WIN (G2) em BTC/USDT** ✅
6546,2025-09-08 18:04:26,-1002836003329,⚠️ **Faça o GALE 2 para BTC/USDT** ⚠️
6545,2025-09-08 18:02:26,-1002836003329,⚠️ **Faça o GALE 1 para BTC/USDT** ⚠️
6544,2025-09-08 18:00:30,-1002836003329,"⚠️ **Novo Sinal Encontrado** ⚠️

🪙 **Par:** `BTC/USDT`
⏰ **Entrada:** 18:01
🔴⬇️ **Vender**"
6542,2025-09-08 17:59:26,-1002836003329,✅ **WIN em BTC/USDT** ✅
6541,2025-09-08 17:57:28,-1002836003329,"⚠️ **Novo Sinal Encontrado** ⚠️

🪙 **Par:** `BTC/USDT`
⏰ **Entrada:** 17:58
🔴⬇️ **Vender**"
6540,2025-09-08 17:57:26,-1002836003329,✅ **WIN em BTC/USDT** ✅
6539,2025-09-08 17:55:28,-1002836003329,"⚠️ **Novo Sinal Encontrado** ⚠️

🪙 **Par:** `BTC/USDT`
⏰ **Entrada:** 17:56
🔴⬇️ **Vender**"
6538,2025-09-08 17:55:26,-1002836003329,❎ **STOP em BTC/USDT** ❎
6537,2025-09-08 17:53:26,-1002836003329,⚠️ **Faça o GALE 2 para BTC/USDT** ⚠️
6536,2025-09-08 17:51:26,-1002836003329,⚠️ **Faça o GALE 1 para BTC/USDT** ⚠️
6535,2025-09-08 17:49:27,-1002836003329,"⚠️ **Novo Sinal Encontrado** ⚠️

🪙 **Par:** `BTC/USDT`
⏰ **Entrada:** 17:50
🔴⬇️ **Vender**"
6534,2025-09-08 17:48:26,-1002836003329,✅ **WIN em BTC/USDT** ✅
6533,2025-09-08 17:46:29,-1002836003329,"⚠️ **Novo Sinal Encontrado** ⚠️

🪙 **Par:** `BTC/USDT`
⏰ **Entrada:** 17:47
🔴⬇️ **Vender**"
6531,2025-09-08 17:46:26,-1002836003329,✅ **WIN em BTC/USDT** ✅
6530,2025-09-08 17:44:28,-1002836003329,"⚠️ **Novo Sinal Encontrado** ⚠️

🪙 **Par:** `BTC/USDT`
⏰ **Entrada:** 17:45
🔴⬇️ **Vender**"
6529,2025-09-08 17:44:25,-1002836003329,✅ **WIN em BTC/USDT** ✅
6528,2025-09-08 17:42:28,-1002836003329,"⚠️ **Novo Sinal Encontrado** ⚠️

🪙 **Par:** `BTC/USDT`
⏰ **Entrada:** 17:43
🔴⬇️ **Vender**"
6527,2025-09-08 17:42:26,-1002836003329,✅ **WIN (G1) em BTC/USDT** ✅
6526,2025-09-08 17:40:26,-1002836003329,⚠️ **Faça o GALE 1 para BTC/USDT** ⚠️
6525,2025-09-08 17:38:28,-1002836003329,"⚠️ **Novo Sinal Encontrado** ⚠️

🪙 **Par:** `BTC/USDT`
⏰ **Entrada:** 17:39
🔴⬇️ **Vender**"
6524,2025-09-08 17:38:26,-1002836003329,✅ **WIN (G1) em BTC/USDT** ✅
6523,2025-09-08 17:36:26,-1002836003329,⚠️ **Faça o GALE 1 para BTC/USDT** ⚠️
6522,2025-09-08 17:34:28,-1002836003329,"⚠️ **Novo Sinal Encontrado** ⚠️

🪙 **Par:** `BTC/USDT`
⏰ **Entrada:** 17:35
🔴⬇️ **Vender**"
6521,2025-09-08 17:34:25,-1002836003329,✅ **WIN em BTC/USDT** ✅
6520,2025-09-08 17:32:29,-1002836003329,"⚠️ **Novo Sinal Encontrado** ⚠️

🪙 **Par:** `BTC/USDT`
⏰ **Entrada:** 17:33
🔴⬇️ **Vender**"
